Title,Description,Display Prompt,Prompt Text,Products,Department,Task Type,Locale
Catch up on month-end close,"Source pack finance.md (Month-End Close Prep). Coordination only: every figure must be confirmed in the GL, Copilot does not connect to the ERP.",Catch me up on open items and blockers for this month's close from my emails and Teams.,"Catch me up on the month-end close for [MONTH]. Search my recent emails and Teams chats and pull together: open items and pending journal entries that people mentioned, accruals or provisions being discussed, late information or blockers from other teams, and anything flagged as a risk to the timetable. Give me a short close-prep checklist grouped by owner. Work only from what is actually in my messages, do not invent figures or dates, and any number you mention is for context only and must be confirmed in the GL.","Copilot web, Copilot work",Finance,Catch up,en-US
Draft AR collections follow-up,Source pack finance.md (AR / Collections Context). Confirm balances in the ledger; Copilot summaries may be stale. No payment or write-off decisions.,Summarize the collections history for an overdue account so I can prepare a follow-up.,"For the account [CUSTOMER NAME], search my emails for the collections history and summarize: invoices and amounts referenced, any promises to pay and the dates given, disputes or queries raised, and the last contact and its outcome. Keep it to what is actually in the correspondence, write 'not found' where something is missing, and do not invent balances. This is to prepare my follow-up, so confirm all balances in the ledger before I act on them.","Copilot web, Copilot work",Finance,Catch up,en-US
Build a variance story draft,"Source pack finance.md (Variance Story Draft). Narrative only: no calculations or sign-off. Drivers tagged 'to confirm', figures verified against the GL.",Draft a plain-language explanation of a variance from the emails and notes I provide.,"Act as my FP&A drafting assistant. I have a [FAVOURABLE / ADVERSE] variance of [AMOUNT] in [COST LINE OR AREA] and I want a plain-language explanation I can refine.

Ground your draft only in the emails, meeting notes, and documents I provide or that you can find in my workspace on this topic. Work strictly from what is there. Do not invent drivers, names, figures, or causes. Where the source does not say, write 'not stated in the material' or mark it [VERIFY]. Never present an assumption as a confirmed driver.

Structure the draft as:
1. One-line summary of the variance in plain English.
2. Likely drivers, each tagged as one-off or recurring, with a short note of where in the material it came from.
3. What the business said about the cause, quoting or paraphrasing the source.
4. Open questions and items to confirm, each marked 'to confirm with [OWNER]'.

This is a narrative draft for me to verify. It does not calculate, finalize, or sign off the variance. The figures and the root cause are mine to confirm against the system of record before this is used or shared. Do not send anything.","Copilot web, Copilot work",Finance,Create,en-US
Assemble an exec pre-read,"Source pack finance.md (Executive Financial Pre-Read). Every figure sourced or marked [VERIFY]; draft for review, no authoritative numbers, no approvals.","Assemble a one-page pre-read for a finance review from recent reports, emails, and decks.","Act as my finance reporting assistant and assemble a one-page pre-read for the [MEETING NAME] on [DATE], drawing from the recent reports, emails, and decks in my workspace on this topic.

Ground everything only in that existing material. Work strictly from what is there. Do not invent headline numbers, names, dates, or movements. Cite the source document for each figure you include. Where a figure is not yet confirmed in the source, mark it [VERIFY]. If something an attendee will expect is missing, list it as a gap rather than filling it in.

Structure the pre-read as:
1. Headline results, as reported, each with its source cited.
2. Key movements and the reason given for each, in plain language.
3. Risks and decisions needed at the meeting.
4. Open actions carried over from last time and their status.

Keep it to one page, factual, no spin. This is a draft for me to review and verify before circulating. It does not produce authoritative numbers or approve anything. Do not send it.","Copilot web, Copilot work",Finance,Prepare,en-US
Prep an audit request response,"Source pack finance.md (Audit Request Response Prep). Prep only: formal evidence from official systems, response requires finance sign-off before reaching auditors.","Draft a response outline with evidence pointers for an audit request, for finance sign-off.","Act as my audit-support assistant. We have received an audit request on [TOPIC] and I want a response outline I can build on.

Search my workspace for the relevant policies and process notes, prior responses on similar items, where supporting evidence is likely held, and any open issues previously raised on this. Ground the outline only in what you actually find. Do not invent policy clauses, dates, document names, or evidence locations. Where you cannot find something, write ""not found"" and list it as an open item to track down, marked [VERIFY], rather than guessing.

Structure the output as:
1. Restated understanding of what the auditors are asking for.
2. Draft response points, each with a pointer to where the supporting evidence is likely held.
3. Relevant policies or process notes found, cited.
4. Open items and evidence still to locate.

Formal audit evidence must come from the official systems, not from this summary. This is a preparation draft only. The response must be reviewed and signed off by finance before anything goes to the auditors. Do not send it.","Copilot web, Copilot work",Finance,Prepare,en-US
Find an HR policy,"Source pack hr-people.md (Policy Research / FAQ). Summary only: verify current policy version, route edge cases to HR, no interpretation or determinations.",Search SharePoint for HR policies on a topic and summarize the key provisions for me.,"Search SharePoint for HR policies related to [TOPIC, e.g. remote work or leave of absence]. List the policy documents you find, their effective dates if stated, and a short summary of the key provisions of each. Work only from the documents you actually find, do not paraphrase beyond what they say, and do not interpret edge cases. I need this to answer an employee question and I will verify the current policy version before I respond.","Copilot web, Copilot work",HR,Find,en-US
Draft an interview question set,"Source pack hr-people.md (Interview Question Set). Interviewer aid only: no scoring, ranking, or hiring decisions; those stay with the panel.",Generate competency-based interview questions and follow-up probes from a job description.,"From this job description, generate a competency-based interview set: [PASTE JOB DESCRIPTION]. For each key competency, give 2 to 3 behavioural questions and a follow-up probe, plus a short note on what a strong versus a weak answer looks like. Keep questions job-relevant and non-discriminatory. This is for the interviewer to use. It does not score, rank, or decide on any candidate. The scoring and the hiring decision stay with the panel.","Copilot web, Copilot work",HR,Create,en-US
Draft a job description,"Source pack hr-people.md (Job Description Draft). Inclusive-language draft only, gaps marked [TBC]; hiring manager reviews and owns, no hiring commitment.","Draft an inclusive job description from a role brief, marked DRAFT for hiring-manager review.","Act as my recruiting drafting assistant and write a job description for [ROLE] from this brief: [PASTE BRIEF].

Ground the description only in the brief I provide and any role information in my workspace. Work strictly from what is there. Do not invent responsibilities, qualifications, salary figures, reporting lines, or benefits that are not in the source. Where a standard section is missing from the brief, mark it [TBC] rather than filling it in.

Structure the draft as:
1. Role purpose in two or three sentences.
2. Key responsibilities.
3. Requirements, split into must-have and nice-to-have.
4. Our EVP and what makes the role attractive, only using points present in the source.

Use inclusive, plain language. Avoid gendered, age-coded, or exclusionary terms. Label the whole thing 'DRAFT, for hiring manager review.' This prepares a draft for a human to review and own. It does not post the role or make any hiring commitment. Do not send or publish it.","Copilot web, Copilot work",HR,Create,en-US
Summarize engagement themes,"Source pack hr-people.md (Engagement Survey Theme Summary). Neutral themes only, anonymized, no attribution; action planning and people decisions stay human.","Summarize recurring themes from open-text engagement comments, anonymized, for the people team.","Act as my people-insights assistant and summarize the themes in the open-text comments I provide or reference: [PASTE OR REFERENCE COMMENTS].

Work strictly from the comments themselves. Do not invent themes, do not exaggerate how common something is, and do not attribute any comment to a named individual. If a sentiment appears only once, say so rather than presenting it as a pattern. Where a topic is not in the comments, write ""not found"" rather than inferring it, and mark anything ambiguous [VERIFY].

Structure the summary as:
1. Top recurring themes, each with a rough sense of how often it appears.
2. Positive signals worth noting.
3. Concerns or frustrations raised.
4. A few notable verbatim examples, anonymized and stripped of any identifying detail.

Keep it neutral and factual. This is input for the people team to discuss, not a conclusion about any manager, team, or person, and not an action plan. Action planning and any people decisions stay with the human team. This is a draft for my review. Do not send it.","Copilot web, Copilot work",HR,Analyze,en-US
Build an onboarding plan,"Source pack hr-people.md (Onboarding Plan Builder). Practical draft, manager-input items [TBC]; no performance, objective-setting, or people decisions.",Build a 30/60/90-day onboarding plan for a new hire from a role brief.,"Act as my onboarding assistant and build a 30/60/90-day onboarding plan for a new [ROLE] starting [DATE]: [PASTE CONTEXT].

Ground the plan in the role context I provide and any relevant onboarding material in my workspace. Work from what is there. Do not invent system names, contacts, training courses, or policies that are not in the source. Where you do not have the detail, leave a clearly marked placeholder rather than guessing.

Structure the plan as:
1. Pre-arrival setup, things to arrange before day one.
2. Week one essentials.
3. Days 1 to 30, key people to meet and first goals.
4. Days 31 to 60 and 61 to 90, ramp-up goals and check-in points.

Make it practical and specific. Mark anything that needs the manager's input as [TBC]. This is a draft plan for the manager and the new hire to adapt. It does not assign work, set objectives, or make any commitment on the person's behalf. This is a draft for me to review. Do not send it.","Copilot web, Copilot work",HR,Prepare,en-US
